eva02_large_patch14_448.mim_m38m_ft_in22k_in1k,1.22 GB
eva_giant_patch14_336.clip_ft_in1k,4.05 GB
eva02_large_patch14_448.mim_in22k_ft_in22k_in1k,1.22 GB
eva_giant_patch14_560.m30m_ft_in22k_in1k,4.06 GB
eva02_large_patch14_448.mim_in22k_ft_in1k,1.22 GB
eva_giant_patch14_336.m30m_ft_in22k_in1k,4.05 GB
eva_large_patch14_336.in22k_ft_in1k,1.22 GB
eva_giant_patch14_224.clip_ft_in1k,4.05 GB
eva02_base_patch14_448.mim_in22k_ft_in22k_in1k,349 MB
eva02_large_patch14_448.mim_m38m_ft_in1k,1.22 GB
eva_large_patch14_336.in22k_ft_in22k_in1k,1.22 GB
eva02_base_patch14_448.mim_in22k_ft_in1k,349 MB
caformer_b36.sail_in22k_ft_in1k_384,395 MB
beit_large_patch16_512.in22k_ft_in22k_in1k,1.42 GB
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_384,801 MB
regnety_1280.swag_ft_in1k,2.58 GB
convnext_xxlarge.clip_laion2b_soup_ft_in1k,3.39 GB
convnext_large_mlp.clip_laion2b_augreg_ft_in1k_384,801 MB
volo_d5_512.sail_in1k,1.18 GB
beit_large_patch16_384.in22k_ft_in22k_in1k,1.28 GB
maxvit_rmlp_base_rw_384.sw_in12k_ft_in1k,466 MB
volo_d5_448.sail_in1k,1.18 GB
tf_efficientnet_l2.ns_jft_in1k,1.93 GB
maxvit_base_tf_512.in21k_ft_in1k,481 MB
eva_large_patch14_196.in22k_ft_in22k_in1k,1.22 GB
convnextv2_huge.fcmae_ft_in22k_in1k_512,2.64 GB
vit_large_patch14_clip_336.openai_ft_in12k_in1k,1.22 GB
convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_320,801 MB
tf_efficientnet_l2.ns_jft_in1k_475,1.93 GB
eva_large_patch14_196.in22k_ft_in1k,1.22 GB
volo_d4_448.sail_in1k,774 MB
maxvit_xlarge_tf_512.in21k_ft_in1k,1.9 GB
vit_huge_patch14_clip_336.laion2b_ft_in12k_in1k,2.53 GB
convnextv2_huge.fcmae_ft_in22k_in1k_384,2.64 GB
convnext_xlarge.fb_in22k_ft_in1k_384,1.4 GB
